SISTEM INVENTORY UTAMA & STOCK OPNAME,,,,,,,,,,,,,,,,,,,,,,,,
MASTER DATA INVENTORY,,,,,,,,FLOW LOG (INPUT/OUTPUT),,,,,,,,STOCK OPNAME (AUDIT LOG),,,,,,,,
Kode Part,Nama Part,Stok Awal,Total Masuk,Total Keluar,Stok Akhir Sistem,Stok Fisik Terakhir,Selisih Audit,,Tanggal PO,No PO,Kode Part,Nama Part,Jenis Flow,Jumlah (Qty),Keterangan,,Tanggal Audit,Auditor,Kode Barang,,Stok Sistem,Stok Fisik,Selisih,Keterangan
EQEA-5302420,FRONT RIGHT WHEEL STRIP,,4,0,4,,,,2026-07-09,,EQEA-5402862,Part Tidak Ditemukan,Masuk,4,,,,,,,,,,
EQEA-5402851,Part Tidak Ditemukan,,4,0,4,,,,2026-07-09,,EQEA-5402832,Part Tidak Ditemukan,Masuk,4,,,,,,,,,,
EQEA-5402861,REAR DOOR MOULDING,,2,0,2,,,,2026-07-09,,EQEA-5402842,FRONT DOOR MOULDING STRIP,Masuk,4,,,,,,,,,,
EQEA-5402830,Part Tidak Ditemukan,,3,0,3,,,,2026-07-09,,EQEA-2803116,Part Tidak Ditemukan,Masuk,3,,,,,,,,,,
EQEA-5402840,Part Tidak Ditemukan,,3,0,3,,,,2026-07-09,,EQEA-2803115,Part Tidak Ditemukan,Masuk,3,,,,,,,,,,
BCKE 34170,Part Tidak Ditemukan,,4,0,4,,,,2026-07-09,,EQEA-2804114,Part Tidak Ditemukan,Masuk,2,,,,,,,,,,
DA6A34170,"LINK(L),CON",,4,0,4,,,,2026-07-09,,EQEA-2804115,Part Tidak Ditemukan,Masuk,2,,,,,,,,,,
KD3534170,"LINK,CONTROL",,10,0,10,,,,2026-07-09,,EQEA-5302431A,Part Tidak Ditemukan,Masuk,4,,,,,,,,,,
LAMP RAV 4 (R & L),Part Tidak Ditemukan,,1,0,1,,,,2026-07-09,,EQEA-5302440,MOULDING FENDER RR RH,Masuk,3,,,,,,,,,,
SPL-HORN005,DOUBLE DISC HORN DR D FISCHER,,72,0,72,,,,2026-07-09,,EQEA-5302441,Part Tidak Ditemukan,Masuk,1,,,,,,,,,,
,,,,,,,,,2026-07-09,,EQEA-5302410,Part Tidak Ditemukan,Masuk,4,,,,,,,,,,
,,,,,,,,,2026-07-09,,EQEA-5302420,FRONT RIGHT WHEEL STRIP,Masuk,4,,,,,,,,,,
,,,,,,,,,2026-07-09,,EQEA-5402851,Part Tidak Ditemukan,Masuk,4,,,,,,,,,,
,,,,,,,,,2026-07-09,,EQEA-5402861,REAR DOOR MOULDING,Masuk,2,,,,,,,,,,
,,,,,,,,,2026-07-09,,EQEA-5402830,Part Tidak Ditemukan,Masuk,3,1 sold,,,,,,,,,
,,,,,,,,,2026-07-09,,EQEA-5402840,Part Tidak Ditemukan,Masuk,3,,,,,,,,,,
,,,,,,,,,2026-07-09,,BCKE 34170,Part Tidak Ditemukan,Masuk,4,,,,,,,,,,
,,,,,,,,,2026-07-09,,DA6A34170,"LINK(L),CON",Masuk,4,,,,,,,,,,
,,,,,,,,,2026-07-09,,KD3534170,"LINK,CONTROL",Masuk,10,,,,,,,,,,
,,,,,,,,,2026-07-09,,LAMP RAV 4 (R & L),Part Tidak Ditemukan,Masuk,1,,,,,,,,,,
,,,,,,,,,2026-07-09,,SPL-HORN005,DOUBLE DISC HORN DR D FISCHER,Masuk,72,5 di mazda,,,,,,,,,
